No,Company,Symbol,Weight,Price,Chg,% Chg
117,Trane Technologies,TT,0.1%,425.87,10.02,-2.4%
118,General Dynamics,GD,0.1%,350.76999999999998,9.2699999999999996,-2.7%
119,Cadence Design Systems,CDNS,0.1%,345.10000000000002,7.8300000000000001,-2.3%
120,Newmont,NEM,0.1%,83.370000000000005,-5.54,-6.2%
121,Marsh McLennan,MMC,0.1%,186.55000000000001,-1.53,-0.8%
122,Coinbase Global,COIN,0.1%,354.45999999999998,31.699999999999999,-9.8%
123,Intercontinental Exchange,ICE,0.1%,157.65000000000001,0.20000000000000001,-0.1%
124,American Tower,AMT,0.1%,191.52000000000001,1.22,-0.6%
125,3.0M,MMM,0.1%,168.5,-3.1000000000000001,-1.8%
126,Bristol Myers Squibb,BMY,0.1%,43.829999999999998,0,0.0%
127,Moody's Corporation,MCO,0.1%,490.81999999999999,11.52,-2.4%
128,Waste Management,WM,0.1%,214.66,-1.45,-0.7%
129,Northrop Grumman,NOC,0.1%,605.58000000000004,-0.16,-0.0%
130,Synopsys,SNPS,0.1%,464.18000000000001,8.0899999999999999,-1.8%
131,Royal Caribbean Group,RCL,0.1%,316.44999999999999,-0.42999999999999999,-0.1%
132,Sherwin-Williams,SHW,0.1%,334,2.25,-0.7%
133,O'Reilly Auto Parts,ORLY,0.1%,97.269999999999996,-1,-1.0%
134,Equinix,EQIX,0.1%,839.49000000000001,7.5599999999999996,-0.9%
135,Cigna,CI,0.1%,301.77999999999997,-3.29,-1.1%
136,Howmet Aerospace,HWM,0.1%,198.50999999999999,-1.5900000000000001,-0.8%
137,Mondelez International,MDLZ,0.1%,60.770000000000003,-0.23999999999999999,-0.4%
138,Ecolab,ECL,0.1%,277.23000000000002,2.21,-0.8%
139,Airbnb,ABNB,0.1%,127.98999999999999,0.64000000000000001,-0.5%
140,Cintas,CTAS,0.1%,190.83000000000001,-1.51,-0.8%
141,TransDigm Group,TDG,0.1%,1359.30,9.3000000000000007,-0.7%
142,Elevance Health,ELV,0.1%,342.35000000000002,-3.9300000000000002,-1.1%
143,BNY Mellon,BK,0.1%,107.98999999999999,1.3100000000000001,-1.2%
144,U.S. Bancorp,USB,0.1%,48.259999999999998,0.44,-0.9%
145,Corning Inc.,GLW,0.1%,87.409999999999997,1.5700000000000001,-1.8%
146,Emerson Electric,EMR,0.1%,132.68000000000001,-0.51000000000000001,-0.4%
147,United Parcel Service,UPS,0.1%,87.219999999999999,0.19,-0.2%
148,Johnson Controls,JCI,0.1%,112.94,2.3900000000000001,-2.2%
149,Marriott International,MAR,0.1%,271.31999999999999,1.6200000000000001,-0.6%
150,PNC Financial Services,PNC,0.1%,186.44,4.4900000000000002,-2.5%
151,Motorola Solutions,MSI,0.1%,438.98000000000002,-5.8499999999999996,-1.3%
152,Aon,AON,0.1%,337.73000000000002,-3.6200000000000001,-1.1%
153,Arthur J. Gallagher & Co.,AJG,0.1%,280.73000000000002,-1.76,-0.6%
154,Illinois Tool Works,ITW,0.1%,245.75,-11.69,-4.5%
155,Apollo Global Management,APO,0.1%,125,1.95,-1.6%
156,Williams Companies,WMB,0.1%,57.479999999999997,-1.45,-2.5%
157,Republic Services,RSG,0.1%,223.09,-0.02000,-0.0%
158,TE Connectivity,TEL,0.1%,235.65000000000001,1.5600000000000001,-0.7%
159,Vistra Corp.,VST,0.1%,201.47,10.1,-5.3%
160,Monster Beverage,MNST,0.1%,69.689999999999998,-0.20000000000000001,-0.3%
161,Fiserv,FI,0.1%,125.17,1.21,-1.0%
162,CSX Corporation,CSX,0.1%,36.130000000000003,0.59999999999999998,-1.7%
163,PayPal,PYPL,0.1%,69.769999999999996,0.11,-0.2%
164,Autodesk,ADSK,0.1%,312.88,3.04,-1.0%
165,Quanta Services,PWR,0.1%,440.93000000000001,13.57,-3.2%
166,Fortinet,FTNT,0.1%,85.560000000000002,0.63,-0.7%
167,General Motors,GM,0.1%,69.659999999999997,2.8100000000000001,-4.2%
168,"Workday, Inc.",WDAY,0.1%,242.75,-0.53000000000000003,-0.2%
169,Zoetis,ZTS,0.1%,145.94,-0.45000000000000001,-0.3%
170,Cencora,COR,0.1%,332.70999999999998,4.1500000000000004,-1.3%
171,AutoZone,AZO,0.1%,3805.56,-44.439999999999998,-1.1%
172,Colgate-Palmolive,CL,0.1%,78,-0.44,-0.6%
173,Norfolk Southern Railway,NSC,0.1%,280.5,-3.3300000000000001,-1.2%
174,Hilton Worldwide,HLT,0.1%,267.76999999999998,0.14000000000000001,-0.1%
175,American Electric Power,AEP,0.1%,115.98,-0.20000000000000001,-0.2%
176,Regeneron Pharmaceuticals,REGN,0.1%,577.95000000000005,2.2599999999999998,-0.4%
177,Digital Realty,DLR,0.1%,179.28,3.8900000000000001,-2.2%
178,Sempra,SRE,0.1%,92.780000000000001,0.96999999999999997,-1.1%
